iter	Passed	Remaining
886	2186	278
887	2187	275
888	2189	273
889	2192	270
890	2193	268
891	2195	265
892	2196	263
893	2198	260
894	2199	258
895	2201	255
896	2202	252
897	2207	250
898	2209	248
899	2210	245
900	2212	243
901	2214	240
902	2215	237
903	2217	235
904	2218	232
905	2222	230
906	2223	228
907	2225	225
908	2226	222
909	2228	220
910	2230	217
911	2232	215
912	2235	213
913	2237	210
914	2239	208
915	2242	205
916	2243	203
917	2246	200
918	2249	198
919	2251	195
920	2254	193
921	2259	191
922	2261	188
923	2265	186
924	2266	183
925	2268	181
926	2270	178
927	2271	176
928	2273	173
929	2274	171
930	2275	168
931	2277	166
932	2279	163
933	2282	161
934	2284	158
935	2286	156
936	2287	153
937	2289	151
938	2290	148
939	2291	146
940	2294	143
941	2296	141
942	2298	138
943	2299	136
944	2301	133
945	2302	131
946	2303	128
947	2305	126
948	2306	123
949	2309	121
950	2312	119
951	2313	116
952	2315	114
953	2316	111
954	2318	109
955	2319	106
956	2320	104
957	2323	101
958	2325	99
959	2327	96
960	2329	94
961	2330	92
962	2332	89
963	2333	87
964	2335	84
965	2337	82
966	2339	79
967	2341	77
968	2342	74
969	2344	72
970	2345	70
971	2347	67
972	2349	65
973	2350	62
974	2354	60
975	2356	57
976	2358	55
977	2359	53
978	2361	50
979	2363	48
980	2364	45
981	2367	43
982	2369	40
983	2371	38
984	2373	36
985	2375	33
986	2376	31
987	2378	28
988	2379	26
989	2382	24
990	2384	21
991	2385	19
992	2387	16
993	2389	14
994	2392	12
995	2394	9
996	2396	7
997	2398	4
998	2400	2
999	2402	0
